"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD599","N/D","SCS1","Deputy Director, Commercial Law (Digital & Technology)","Deputy Director, Commercial Law (Digital & Technology)","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD346","829378","0.86","N/A","N/A","","Government Legal Profession","North West","nan","1.00"
"OD600","N/D","SCS1","Head of Operational Delivery Profession","Head of Operational Delivery Profession","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","20619112","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD601","N/D","SCS1","Deputy Director of Professional Services and Digital Estates","Deputy Director of Professional Services and Digital Estates","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","2079131","1.00","N/A","N/A","","Government Property Profession","Yorkshire and The Humber","nan","1.00"
"OD602","N/D","SCS1","Deputy Director Property & Assets","Deputy Director Property & Assets","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","1691713","1.00","N/A","N/A","","Government Property Profession","Yorkshire and The Humber","nan","1.00"
"OD603","N/D","SCS1","IT Delivery Manager: Major programmes","IT Delivery Manager: Major programmes","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","7468436","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD605","Mark Wilson","SCS2","Director of Sols Legal Operations and Business Transformation Directorate","Director of Sols Legal Operations and Business Transformation Directorate","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD110","714216","1.00","115000","115000","","Government Legal Profession","London","nan","1.00"
"OD606","Philip Batchelor","SCS2","Director of Strategy, Tax Admin and Reform","Director of Strategy, Tax Admin and Reform","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","496314","0.92","100000","100000","","Policy Profession","Northern Ireland","nan","1.00"
"OD608","N/D","SCS1","Unity Programme Director","Unity Programme Director","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1954179","1.00","N/A","N/A","","Project Delivery Profession","East Midlands","nan","1.00"
"OD611","N/D","SCS1","DD Business & Specialist Taxes","DD Business & Specialist Taxes","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","57533222","1.00","N/A","N/A","","Project Delivery Profession","East Midlands","nan","1.00"
"OD613","N/D","SCS1","MTD Programme Manager","MTD Programme Manager","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","2254942","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"OD614","N/D","SCS1","Finance Director - Borders and Trade","Finance Director - Borders and Trade","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD781","5620054","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD618","Alexander Pienaar","SCS2","Director of Customs Policy and Strategy","Director of Customs Policy and Strategy","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD781","1366912","1.00","110000","110000","","Policy Profession","London","nan","1.00"
"OD620","N/D","SCS1","Deputy Director Head of Function - LB Compliance Risk","Deputy Director Head of Function - LB Compliance Risk","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","2446048","1.00","N/A","N/A","","Government Tax Profession","Wales","nan","1.00"
"OD624","N/D","SCS1","Deputy Director Customer Communication Services","Deputy Director Customer Communication Services","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD931","4741323","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD627","N/D","SCS1","Head of CS&TD Communications","Head of CS&TD Communications","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","2165030","1.00","N/A","N/A","","Government Communication Service","South East","nan","1.00"
"OD628","N/D","SCS1","Deputy Director Express Security & Single Trade Window","Deputy Director Express Security & Single Trade Window","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1252567","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD629","N/D","SCS1","Head of Enterprise Architecture","Head of Enterprise Architecture","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","3770162","1.00","N/A","N/A","","Other","West Midlands","nan","1.00"
"OD630","N/D","SCS1","Head of Networks & Communications","Head of Networks & Communications","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","2120775","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD632","N/D","SCS1","Head of Business Services","Head of Business Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD633","Aydin Sheibani","SCS2","Chief Data Officer","Chief Data Officer","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD107","750738","1.00","160000","160000","","Other","London","nan","1.00"
"OD635T","Eliminated","SCS1","Deputy Director - COVID-19 Response Programme, HMRC Transformation Group","Deputy Director - COVID-19 Response Programme, HMRC Transformation Group","HM Revenue and Customs","HM Revenue and Customs","Legal","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post eliminated from 02/02/2026","1.00"
"OD639","N/D","SCS1","C& E Services Deputy Delivery Director","C& E Services Deputy Delivery Director","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","2103271","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD640","N/D","SCS1","Portfolio Manager/Director","Portfolio Manager/Director","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","4977820","0.50","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD641","N/D","SCS1","Service Owner: Digital Services","Service Owner: Digital Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD558","6769825","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD643","N/D","SCS1","Finance Director, CPO Group","Finance Director, CPO Group","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","3299183","1.00","N/A","N/A","","Government Finance Profession","North East","nan","1.00"
"OD644","Mike Beddington","SCS2","Director of CSG Strategy & Change","Director of CSG Strategy & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","2430487","1.00","115000","115000","","Operational Delivery Profession","East Midlands","Jobshare","1.00"
"OD644","Steph (Stephney) Jary","SCS2","Director of CSG Strategy & Change","Director of CSG Strategy & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","2430487","1.00","90000","90000","","Operational Delivery Profession","East Midlands","Jobshare","1.00"
"OD645","N/D","SCS1","Head of Enterprise Integration Services","Head of Enterprise Integration Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","3515743","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD647","N/D","SCS1","Deputy Director - Business Delivery","Deputy Director - Business Delivery","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD931","10535427","1.00","N/A","N/A","","Operational Delivery Profession","Scotland","nan","1.00"
"OD655","N/D","SCS1","Deputy Director - Customs Compliance Audit and Law","Deputy Director - Customs Compliance Audit and Law","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","3122054","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD658","N/D","SCS1","Head of Director Innovation","Head of Director Innovation","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","1281633","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD659","N/D","SCS1","Outbound Communication Automation & Voice Services","Outbound Communication Automation & Voice Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD558","3659619","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD660","N/D","SCS1","Director of Security Strategy and Operational Excellence","Director of Security Strategy and Operational Excellence","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD420","2715985","1.00","N/A","N/A","","Internal Audit Profession","East Midlands","nan","1.00"
"OD661","N/D","SCS1","Deputy Director Sols Transformation & Governance","Deputy Director Sols Transformation & Governance","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD605","3206047","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD662","N/D","SCS1","DD Data Protection Officer (DPO)","DD Data Protection Officer (DPO)","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD633","3489940","1.00","N/A","N/A","","Internal Audit Profession","London","nan","1.00"
"OD665","N/D","SCS1","Deputy Director of VAT Infrastructure and SDIL (Soft Drinks Industry Levy)","Deputy Director of VAT Infrastructure and SDIL (Soft Drinks Industry Levy)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","3445648","1.00","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD666","N/D","SCS1","HR Director for Enterprise Transformation Group, Customer Strategy and Tax Design","HR Director for Enterprise Transformation Group, Customer Strategy and Tax Design","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1304366","1.00","N/A","N/A","","Human Resources Profession","Wales","nan","1.00"
"OD667","N/D","SCS1","Deputy Director, Internal Audit - Role 1","Deputy Director, Internal Audit - Role 1","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD256","2165990","1.00","N/A","N/A","","Internal Audit Profession","East Midlands","nan","1.00"
"OD670","Vacant","SCS1","Deputy Director UK Transition Policy & Strategy","Deputy Director UK Transition Policy & Strategy","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD671","N/D","SCS1","DD Resource Planning & Demand Analysis","DD Resource Planning & Demand Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","6801186","1.00","N/A","N/A","","Operational Delivery Profession","North West","Jobshare","1.00"
"OD671","N/D","SCS1","DD Resource Planning & Demand Analysis","DD Resource Planning & Demand Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","6801186","1.00","N/A","N/A","","Operational Delivery Profession","North West","Jobshare","1.00"
"OD673","N/D","SCS1","Head of Cyber Security Technical Services","Head of Cyber Security Technical Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD420","6877740","1.00","N/A","N/A","","Internal Audit Profession","Wales","nan","1.00"
"OD674","N/D","SCS1","DD Projects, Planning and Delivery","DD Projects, Planning and Delivery","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","2494042","1.00","N/A","N/A","","Government Property Profession","Northern Ireland","nan","1.00"
"OD675","N/D","SCS1","Deputy Director UBS Finance & Procurement Operations","Deputy Director UBS Finance & Procurement Operations","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1017","5430153","0.50","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD677","N/D","SCS1","Deputy Director, IT Delivery Head of PMO","Deputy Director, IT Delivery Head of PMO","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","0","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
